path,top_folder,category,trust_level,title,size_bytes,duplicate_suffix_copy
age_groups/analysis_summary.md,age_groups,unclassified_reference,needs_reader_caution,Age-Group Post-Stage2 Analysis,2025,no
age_groups_full_matched_compare/analysis_summary.md,age_groups_full_matched_compare,unclassified_reference,needs_reader_caution,Full Matched Age-Group Analysis,2132,no
age_groups_interim/current_stage_conclusion_memo.md,age_groups_interim,legacy_or_historical_reference,legacy_reference_only,Current-stage conclusion memo,2388,no
age_groups_interim/interim_vs_final_summary.md,age_groups_interim,legacy_or_historical_reference,legacy_reference_only,,927,no
age_groups_interim/three_way_comparison_memo.md,age_groups_interim,legacy_or_historical_reference,legacy_reference_only,Three-way comparison memo,4294,no
age_groups_response_supervision_frozen/frozen_current_best_memo.md,age_groups_response_supervision_frozen,legacy_or_historical_reference,legacy_reference_only,Frozen current-best response-supervision memo,1679,no
age_groups_response_supervision_interim/response_supervision_interim_memo.md,age_groups_response_supervision_interim,legacy_or_historical_reference,legacy_reference_only,Response-supervision interim memo,1117,no
analysis_results.md,.,unclassified_reference,needs_reader_caution,Human Data Analysis Report,4434,no
diagnostics/ar1_evidence_noise_ablation_proposal.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,AR(1) Evidence Noise Ablation Proposal,2474,no
diagnostics/ar1_layerwise_gate_noise_ablation/ar1_noise_ablation_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,AR(1) Layer-wise Gate Noise Ablation,1284,no
diagnostics/ar1_pause_and_reactivation_plan.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,AR(1) Pause and Reactivation Plan,1257,no
diagnostics/cleanup_logs/diagnostics_root_cleanup_log.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Diagnostics Root Cleanup Log,3677,no
diagnostics/current_dmc_noise_modeling_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Current DMC and Noise Modeling Summary,8092,no
diagnostics/dmc_noise_integrated_model_report.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,DMC Noise Integrated Model Report,8857,no
diagnostics/dmc_replacement_and_noise_next_steps_report.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,DMC Replacement and Evidence Noise Next-Step Report,6654,no
diagnostics/hidden_feature_flanker_probe/hidden_feature_flanker_probe.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Hidden Feature Flanker Probe,2473,no
diagnostics/hidden_feature_flanker_probe_full/hidden_feature_flanker_probe_full.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Hidden Feature Flanker Probe Full,2818,no
diagnostics/layer_time_gate_trajectory/trajectory_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-time Gate Trajectory,258,no
diagnostics/layer_time_gate_ww/layer_time_gate_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Fixed Layer-time Gate to Wong-Wang,2140,no
diagnostics/layerwise_dmc_noise_readout_relation_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,"Layer-wise DMC Replacement, AR(1) Noise, and Stochastic Stopping",869,no
diagnostics/layerwise_dmc_positive_control_comparison/dmc_vs_layerwise_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Gate vs DMC Positive Control,2223,no
diagnostics/layerwise_dmc_replacement_report.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise DMC Replacement Report,4468,no
diagnostics/layerwise_evidence_cache/layerwise_evidence_cache_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Evidence Cache,1214,no
diagnostics/layerwise_evidence_ww_single_layer/single_layer_ww_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Single-layer Evidence to Wong-Wang,1259,no
diagnostics/layerwise_feature_probe/layerwise_probe_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Feature Probe,4125,no
diagnostics/layerwise_gate_parameter_scan/parameter_scan_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Gate Parameter Scan,1479,no
diagnostics/layerwise_gate_refined_scan/refined_scan_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Refined Layer-wise Gate Parameter Scan,2083,no
diagnostics/layerwise_gate_refined_trajectory_validation/refined_trajectory_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Refined Layer-wise Gate Trajectory Validation,1691,no
diagnostics/layerwise_gate_trajectory_validation/trajectory_validation_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Gate Trajectory Validation,1128,no
diagnostics/layerwise_logits_evidence_audit_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Logits / Evidence Audit,11676,no
diagnostics/layerwise_remaining_diagnostics/remaining_diagnostics_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Remaining Layer-wise DMC Diagnostics,1189,no
diagnostics/layerwise_representation_geometry/layerwise_geometry_memo.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Layer-wise Representation Geometry,1574,no
diagnostics/natural_layer_to_time_var_ww/age_group_restricted_fitting/age_group_restricted_fitting_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Age-group Restricted Parameter Fitting Summary,3308,no
diagnostics/natural_layer_to_time_var_ww/caf_rt_followup/caf_rt_followup_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,CAF and RT Distribution Follow-up for Natural Layer-to-Time WW,6688,no
diagnostics/natural_layer_to_time_var_ww/cleanup_full_extraction/deletion_manifest.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Full Extraction Cleanup Deletion Manifest,971,no
diagnostics/natural_layer_to_time_var_ww/cleanup_full_extraction/full_extraction_cleanup_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Full Extraction Cleanup Summary,1171,no
diagnostics/natural_layer_to_time_var_ww/data_audit_t0_corrected_validation/data_source_audit_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Data Source Audit Summary,983,no
diagnostics/natural_layer_to_time_var_ww/data_audit_t0_corrected_validation/t0_corrected_validation_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,T0-corrected Validation and Data Audit Summary,4135,no
diagnostics/natural_layer_to_time_var_ww/full_age_group_vgg_evidence_cache_dryrun_20_29_80_89/extraction_unit_decision.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Extraction Unit Decision,1495,no
diagnostics/natural_layer_to_time_var_ww/full_age_group_vgg_evidence_cache_dryrun_20_29_80_89/full_age_group_cache_build_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Full Age-group VGG / Layerwise Evidence Cache Build Summary,2574,no
diagnostics/natural_layer_to_time_var_ww/full_age_group_vgg_evidence_cache_dryrun_20_29_80_89/full_age_group_evidence_audit_summary.md,diagnostics,exploratory_or_side_diagnostic,diagnostic_context,Full Age-group Evidence Audit Summary,1903,no
